geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
LD 10	5.88230859	5.88230859	-162.12198971	-162.12198971
LD 12	5.88420373	5.88420373	-162.12070091	-162.12070091
LD 13	5.88336655	5.88336655	-162.12174211	-162.12174211
LD 15	5.8878911	5.8878911	-162.12345286	-162.12345286
LD 16	5.87041986	5.87041986	-162.10480572	-162.10480572
LD 18	5.87041693	5.87041693	-162.10424665	-162.10424665
LD 19	5.88323076	5.88323076	-162.1216023	-162.1216023
LD 20	5.87079822	5.87079822	-162.10606619	-162.10606619
LD 21	5.87069018	5.87069018	-162.10517151	-162.10517151
LD 22	5.88248285	5.88248285	-162.12114323	-162.12114323
LD 3	5.89023376	5.89023376	-162.12190472	-162.12190472
LD 4	5.8856616	5.8856616	-162.12210404	-162.12210404
LD 5	5.87769502	5.87769502	-162.11514815	-162.11514815
LD 6	5.88111324	5.88111324	-162.12215358	-162.12215358
LD 7	5.88294352	5.88294352	-162.12178612	-162.12178612
LD 9	5.88577014	5.88577014	-162.12223564	-162.12223564
